index,name,family,suites,method,shape_name,rho,energy_ratio,separation,repeat,ndiv,dt,tend,input,output
1,periodic_grid_ellipsoid_1_0p8_0p6_rho4_E1_sep3_nd1_dt0p05,periodic,grid,impulse_noproj,ellipsoid_1_0p8_0p6,4.0,1.0,3.0,1,1,0.05,10.0,studies/multibody_convergence_sweep/runs/periodic_grid_ellipsoid_1_0p8_0p6_rho4_E1_sep3_nd1_dt0p05/input.txt,studies/multibody_convergence_sweep/runs/periodic_grid_ellipsoid_1_0p8_0p6_rho4_E1_sep3_nd1_dt0p05/multiple_body_complete.dat
2,periodic_grid_ellipsoid_1_0p8_0p6_rho4_E1_sep3_nd2_dt0p05,periodic,grid,impulse_noproj,ellipsoid_1_0p8_0p6,4.0,1.0,3.0,1,2,0.05,10.0,studies/multibody_convergence_sweep/runs/periodic_grid_ellipsoid_1_0p8_0p6_rho4_E1_sep3_nd2_dt0p05/input.txt,studies/multibody_convergence_sweep/runs/periodic_grid_ellipsoid_1_0p8_0p6_rho4_E1_sep3_nd2_dt0p05/multiple_body_complete.dat
3,periodic_temporal_ellipsoid_1_0p8_0p6_rho4_E1_sep3_nd3_dt0p025,periodic,temporal,impulse_noproj,ellipsoid_1_0p8_0p6,4.0,1.0,3.0,1,3,0.025,10.0,studies/multibody_convergence_sweep/runs/periodic_temporal_ellipsoid_1_0p8_0p6_rho4_E1_sep3_nd3_dt0p025/input.txt,studies/multibody_convergence_sweep/runs/periodic_temporal_ellipsoid_1_0p8_0p6_rho4_E1_sep3_nd3_dt0p025/multiple_body_complete.dat
4,periodic_both_ellipsoid_1_0p8_0p6_rho4_E1_sep3_nd3_dt0p05,periodic,grid;temporal,impulse_noproj,ellipsoid_1_0p8_0p6,4.0,1.0,3.0,1,3,0.05,10.0,studies/multibody_convergence_sweep/runs/periodic_both_ellipsoid_1_0p8_0p6_rho4_E1_sep3_nd3_dt0p05/input.txt,studies/multibody_convergence_sweep/runs/periodic_both_ellipsoid_1_0p8_0p6_rho4_E1_sep3_nd3_dt0p05/multiple_body_complete.dat
5,periodic_temporal_ellipsoid_1_0p8_0p6_rho4_E1_sep3_nd3_dt0p1,periodic,temporal,impulse_noproj,ellipsoid_1_0p8_0p6,4.0,1.0,3.0,1,3,0.1,10.0,studies/multibody_convergence_sweep/runs/periodic_temporal_ellipsoid_1_0p8_0p6_rho4_E1_sep3_nd3_dt0p1/input.txt,studies/multibody_convergence_sweep/runs/periodic_temporal_ellipsoid_1_0p8_0p6_rho4_E1_sep3_nd3_dt0p1/multiple_body_complete.dat
6,periodic_temporal_ellipsoid_1_0p8_0p6_rho4_E1_sep3_nd3_dt0p2,periodic,temporal,impulse_noproj,ellipsoid_1_0p8_0p6,4.0,1.0,3.0,1,3,0.2,10.0,studies/multibody_convergence_sweep/runs/periodic_temporal_ellipsoid_1_0p8_0p6_rho4_E1_sep3_nd3_dt0p2/input.txt,studies/multibody_convergence_sweep/runs/periodic_temporal_ellipsoid_1_0p8_0p6_rho4_E1_sep3_nd3_dt0p2/multiple_body_complete.dat
7,periodic_grid_ellipsoid_1_0p8_0p6_rho4_E1_sep3_nd4_dt0p05,periodic,grid,impulse_noproj,ellipsoid_1_0p8_0p6,4.0,1.0,3.0,1,4,0.05,10.0,studies/multibody_convergence_sweep/runs/periodic_grid_ellipsoid_1_0p8_0p6_rho4_E1_sep3_nd4_dt0p05/input.txt,studies/multibody_convergence_sweep/runs/periodic_grid_ellipsoid_1_0p8_0p6_rho4_E1_sep3_nd4_dt0p05/multiple_body_complete.dat
8,periodic_grid_ellipsoid_1_0p8_0p6_rho4_E1_sep5_nd1_dt0p05,periodic,grid,impulse_noproj,ellipsoid_1_0p8_0p6,4.0,1.0,5.0,1,1,0.05,10.0,studies/multibody_convergence_sweep/runs/periodic_grid_ellipsoid_1_0p8_0p6_rho4_E1_sep5_nd1_dt0p05/input.txt,studies/multibody_convergence_sweep/runs/periodic_grid_ellipsoid_1_0p8_0p6_rho4_E1_sep5_nd1_dt0p05/multiple_body_complete.dat
9,periodic_grid_ellipsoid_1_0p8_0p6_rho4_E1_sep5_nd2_dt0p05,periodic,grid,impulse_noproj,ellipsoid_1_0p8_0p6,4.0,1.0,5.0,1,2,0.05,10.0,studies/multibody_convergence_sweep/runs/periodic_grid_ellipsoid_1_0p8_0p6_rho4_E1_sep5_nd2_dt0p05/input.txt,studies/multibody_convergence_sweep/runs/periodic_grid_ellipsoid_1_0p8_0p6_rho4_E1_sep5_nd2_dt0p05/multiple_body_complete.dat
10,periodic_temporal_ellipsoid_1_0p8_0p6_rho4_E1_sep5_nd3_dt0p025,periodic,temporal,impulse_noproj,ellipsoid_1_0p8_0p6,4.0,1.0,5.0,1,3,0.025,10.0,studies/multibody_convergence_sweep/runs/periodic_temporal_ellipsoid_1_0p8_0p6_rho4_E1_sep5_nd3_dt0p025/input.txt,studies/multibody_convergence_sweep/runs/periodic_temporal_ellipsoid_1_0p8_0p6_rho4_E1_sep5_nd3_dt0p025/multiple_body_complete.dat
11,periodic_both_ellipsoid_1_0p8_0p6_rho4_E1_sep5_nd3_dt0p05,periodic,grid;temporal,impulse_noproj,ellipsoid_1_0p8_0p6,4.0,1.0,5.0,1,3,0.05,10.0,studies/multibody_convergence_sweep/runs/periodic_both_ellipsoid_1_0p8_0p6_rho4_E1_sep5_nd3_dt0p05/input.txt,studies/multibody_convergence_sweep/runs/periodic_both_ellipsoid_1_0p8_0p6_rho4_E1_sep5_nd3_dt0p05/multiple_body_complete.dat
12,periodic_temporal_ellipsoid_1_0p8_0p6_rho4_E1_sep5_nd3_dt0p1,periodic,temporal,impulse_noproj,ellipsoid_1_0p8_0p6,4.0,1.0,5.0,1,3,0.1,10.0,studies/multibody_convergence_sweep/runs/periodic_temporal_ellipsoid_1_0p8_0p6_rho4_E1_sep5_nd3_dt0p1/input.txt,studies/multibody_convergence_sweep/runs/periodic_temporal_ellipsoid_1_0p8_0p6_rho4_E1_sep5_nd3_dt0p1/multiple_body_complete.dat
13,periodic_temporal_ellipsoid_1_0p8_0p6_rho4_E1_sep5_nd3_dt0p2,periodic,temporal,impulse_noproj,ellipsoid_1_0p8_0p6,4.0,1.0,5.0,1,3,0.2,10.0,studies/multibody_convergence_sweep/runs/periodic_temporal_ellipsoid_1_0p8_0p6_rho4_E1_sep5_nd3_dt0p2/input.txt,studies/multibody_convergence_sweep/runs/periodic_temporal_ellipsoid_1_0p8_0p6_rho4_E1_sep5_nd3_dt0p2/multiple_body_complete.dat
14,periodic_grid_ellipsoid_1_0p8_0p6_rho4_E1_sep5_nd4_dt0p05,periodic,grid,impulse_noproj,ellipsoid_1_0p8_0p6,4.0,1.0,5.0,1,4,0.05,10.0,studies/multibody_convergence_sweep/runs/periodic_grid_ellipsoid_1_0p8_0p6_rho4_E1_sep5_nd4_dt0p05/input.txt,studies/multibody_convergence_sweep/runs/periodic_grid_ellipsoid_1_0p8_0p6_rho4_E1_sep5_nd4_dt0p05/multiple_body_complete.dat
15,periodic_grid_ellipsoid_1_0p8_0p6_rho4_E1_sep8_nd1_dt0p05,periodic,grid,impulse_noproj,ellipsoid_1_0p8_0p6,4.0,1.0,8.0,1,1,0.05,10.0,studies/multibody_convergence_sweep/runs/periodic_grid_ellipsoid_1_0p8_0p6_rho4_E1_sep8_nd1_dt0p05/input.txt,studies/multibody_convergence_sweep/runs/periodic_grid_ellipsoid_1_0p8_0p6_rho4_E1_sep8_nd1_dt0p05/multiple_body_complete.dat
16,periodic_grid_ellipsoid_1_0p8_0p6_rho4_E1_sep8_nd2_dt0p05,periodic,grid,impulse_noproj,ellipsoid_1_0p8_0p6,4.0,1.0,8.0,1,2,0.05,10.0,studies/multibody_convergence_sweep/runs/periodic_grid_ellipsoid_1_0p8_0p6_rho4_E1_sep8_nd2_dt0p05/input.txt,studies/multibody_convergence_sweep/runs/periodic_grid_ellipsoid_1_0p8_0p6_rho4_E1_sep8_nd2_dt0p05/multiple_body_complete.dat
17,periodic_temporal_ellipsoid_1_0p8_0p6_rho4_E1_sep8_nd3_dt0p025,periodic,temporal,impulse_noproj,ellipsoid_1_0p8_0p6,4.0,1.0,8.0,1,3,0.025,10.0,studies/multibody_convergence_sweep/runs/periodic_temporal_ellipsoid_1_0p8_0p6_rho4_E1_sep8_nd3_dt0p025/input.txt,studies/multibody_convergence_sweep/runs/periodic_temporal_ellipsoid_1_0p8_0p6_rho4_E1_sep8_nd3_dt0p025/multiple_body_complete.dat
18,periodic_both_ellipsoid_1_0p8_0p6_rho4_E1_sep8_nd3_dt0p05,periodic,grid;temporal,impulse_noproj,ellipsoid_1_0p8_0p6,4.0,1.0,8.0,1,3,0.05,10.0,studies/multibody_convergence_sweep/runs/periodic_both_ellipsoid_1_0p8_0p6_rho4_E1_sep8_nd3_dt0p05/input.txt,studies/multibody_convergence_sweep/runs/periodic_both_ellipsoid_1_0p8_0p6_rho4_E1_sep8_nd3_dt0p05/multiple_body_complete.dat
19,periodic_temporal_ellipsoid_1_0p8_0p6_rho4_E1_sep8_nd3_dt0p1,periodic,temporal,impulse_noproj,ellipsoid_1_0p8_0p6,4.0,1.0,8.0,1,3,0.1,10.0,studies/multibody_convergence_sweep/runs/periodic_temporal_ellipsoid_1_0p8_0p6_rho4_E1_sep8_nd3_dt0p1/input.txt,studies/multibody_convergence_sweep/runs/periodic_temporal_ellipsoid_1_0p8_0p6_rho4_E1_sep8_nd3_dt0p1/multiple_body_complete.dat
20,periodic_temporal_ellipsoid_1_0p8_0p6_rho4_E1_sep8_nd3_dt0p2,periodic,temporal,impulse_noproj,ellipsoid_1_0p8_0p6,4.0,1.0,8.0,1,3,0.2,10.0,studies/multibody_convergence_sweep/runs/periodic_temporal_ellipsoid_1_0p8_0p6_rho4_E1_sep8_nd3_dt0p2/input.txt,studies/multibody_convergence_sweep/runs/periodic_temporal_ellipsoid_1_0p8_0p6_rho4_E1_sep8_nd3_dt0p2/multiple_body_complete.dat
21,periodic_grid_ellipsoid_1_0p8_0p6_rho4_E1_sep8_nd4_dt0p05,periodic,grid,impulse_noproj,ellipsoid_1_0p8_0p6,4.0,1.0,8.0,1,4,0.05,10.0,studies/multibody_convergence_sweep/runs/periodic_grid_ellipsoid_1_0p8_0p6_rho4_E1_sep8_nd4_dt0p05/input.txt,studies/multibody_convergence_sweep/runs/periodic_grid_ellipsoid_1_0p8_0p6_rho4_E1_sep8_nd4_dt0p05/multiple_body_complete.dat
22,periodic_grid_spheroid_1_0p7_0p7_rho4_E1_sep3_nd1_dt0p05,periodic,grid,impulse_noproj,spheroid_1_0p7_0p7,4.0,1.0,3.0,1,1,0.05,10.0,studies/multibody_convergence_sweep/runs/periodic_grid_spheroid_1_0p7_0p7_rho4_E1_sep3_nd1_dt0p05/input.txt,studies/multibody_convergence_sweep/runs/periodic_grid_spheroid_1_0p7_0p7_rho4_E1_sep3_nd1_dt0p05/multiple_body_complete.dat
23,periodic_grid_spheroid_1_0p7_0p7_rho4_E1_sep3_nd2_dt0p05,periodic,grid,impulse_noproj,spheroid_1_0p7_0p7,4.0,1.0,3.0,1,2,0.05,10.0,studies/multibody_convergence_sweep/runs/periodic_grid_spheroid_1_0p7_0p7_rho4_E1_sep3_nd2_dt0p05/input.txt,studies/multibody_convergence_sweep/runs/periodic_grid_spheroid_1_0p7_0p7_rho4_E1_sep3_nd2_dt0p05/multiple_body_complete.dat
24,periodic_temporal_spheroid_1_0p7_0p7_rho4_E1_sep3_nd3_dt0p025,periodic,temporal,impulse_noproj,spheroid_1_0p7_0p7,4.0,1.0,3.0,1,3,0.025,10.0,studies/multibody_convergence_sweep/runs/periodic_temporal_spheroid_1_0p7_0p7_rho4_E1_sep3_nd3_dt0p025/input.txt,studies/multibody_convergence_sweep/runs/periodic_temporal_spheroid_1_0p7_0p7_rho4_E1_sep3_nd3_dt0p025/multiple_body_complete.dat
25,periodic_both_spheroid_1_0p7_0p7_rho4_E1_sep3_nd3_dt0p05,periodic,grid;temporal,impulse_noproj,spheroid_1_0p7_0p7,4.0,1.0,3.0,1,3,0.05,10.0,studies/multibody_convergence_sweep/runs/periodic_both_spheroid_1_0p7_0p7_rho4_E1_sep3_nd3_dt0p05/input.txt,studies/multibody_convergence_sweep/runs/periodic_both_spheroid_1_0p7_0p7_rho4_E1_sep3_nd3_dt0p05/multiple_body_complete.dat
26,periodic_temporal_spheroid_1_0p7_0p7_rho4_E1_sep3_nd3_dt0p1,periodic,temporal,impulse_noproj,spheroid_1_0p7_0p7,4.0,1.0,3.0,1,3,0.1,10.0,studies/multibody_convergence_sweep/runs/periodic_temporal_spheroid_1_0p7_0p7_rho4_E1_sep3_nd3_dt0p1/input.txt,studies/multibody_convergence_sweep/runs/periodic_temporal_spheroid_1_0p7_0p7_rho4_E1_sep3_nd3_dt0p1/multiple_body_complete.dat
27,periodic_temporal_spheroid_1_0p7_0p7_rho4_E1_sep3_nd3_dt0p2,periodic,temporal,impulse_noproj,spheroid_1_0p7_0p7,4.0,1.0,3.0,1,3,0.2,10.0,studies/multibody_convergence_sweep/runs/periodic_temporal_spheroid_1_0p7_0p7_rho4_E1_sep3_nd3_dt0p2/input.txt,studies/multibody_convergence_sweep/runs/periodic_temporal_spheroid_1_0p7_0p7_rho4_E1_sep3_nd3_dt0p2/multiple_body_complete.dat
28,periodic_grid_spheroid_1_0p7_0p7_rho4_E1_sep3_nd4_dt0p05,periodic,grid,impulse_noproj,spheroid_1_0p7_0p7,4.0,1.0,3.0,1,4,0.05,10.0,studies/multibody_convergence_sweep/runs/periodic_grid_spheroid_1_0p7_0p7_rho4_E1_sep3_nd4_dt0p05/input.txt,studies/multibody_convergence_sweep/runs/periodic_grid_spheroid_1_0p7_0p7_rho4_E1_sep3_nd4_dt0p05/multiple_body_complete.dat
29,periodic_grid_spheroid_1_0p7_0p7_rho4_E1_sep5_nd1_dt0p05,periodic,grid,impulse_noproj,spheroid_1_0p7_0p7,4.0,1.0,5.0,1,1,0.05,10.0,studies/multibody_convergence_sweep/runs/periodic_grid_spheroid_1_0p7_0p7_rho4_E1_sep5_nd1_dt0p05/input.txt,studies/multibody_convergence_sweep/runs/periodic_grid_spheroid_1_0p7_0p7_rho4_E1_sep5_nd1_dt0p05/multiple_body_complete.dat
30,periodic_grid_spheroid_1_0p7_0p7_rho4_E1_sep5_nd2_dt0p05,periodic,grid,impulse_noproj,spheroid_1_0p7_0p7,4.0,1.0,5.0,1,2,0.05,10.0,studies/multibody_convergence_sweep/runs/periodic_grid_spheroid_1_0p7_0p7_rho4_E1_sep5_nd2_dt0p05/input.txt,studies/multibody_convergence_sweep/runs/periodic_grid_spheroid_1_0p7_0p7_rho4_E1_sep5_nd2_dt0p05/multiple_body_complete.dat
31,periodic_temporal_spheroid_1_0p7_0p7_rho4_E1_sep5_nd3_dt0p025,periodic,temporal,impulse_noproj,spheroid_1_0p7_0p7,4.0,1.0,5.0,1,3,0.025,10.0,studies/multibody_convergence_sweep/runs/periodic_temporal_spheroid_1_0p7_0p7_rho4_E1_sep5_nd3_dt0p025/input.txt,studies/multibody_convergence_sweep/runs/periodic_temporal_spheroid_1_0p7_0p7_rho4_E1_sep5_nd3_dt0p025/multiple_body_complete.dat
32,periodic_both_spheroid_1_0p7_0p7_rho4_E1_sep5_nd3_dt0p05,periodic,grid;temporal,impulse_noproj,spheroid_1_0p7_0p7,4.0,1.0,5.0,1,3,0.05,10.0,studies/multibody_convergence_sweep/runs/periodic_both_spheroid_1_0p7_0p7_rho4_E1_sep5_nd3_dt0p05/input.txt,studies/multibody_convergence_sweep/runs/periodic_both_spheroid_1_0p7_0p7_rho4_E1_sep5_nd3_dt0p05/multiple_body_complete.dat
33,periodic_temporal_spheroid_1_0p7_0p7_rho4_E1_sep5_nd3_dt0p1,periodic,temporal,impulse_noproj,spheroid_1_0p7_0p7,4.0,1.0,5.0,1,3,0.1,10.0,studies/multibody_convergence_sweep/runs/periodic_temporal_spheroid_1_0p7_0p7_rho4_E1_sep5_nd3_dt0p1/input.txt,studies/multibody_convergence_sweep/runs/periodic_temporal_spheroid_1_0p7_0p7_rho4_E1_sep5_nd3_dt0p1/multiple_body_complete.dat
